분야 및 연도,총배출량(kt CO2-eq),순배출량,에너지,A 연료연소,A 연료연소_1 에너지산업,A 연료연소_a 공공 전기 및 열 생산,A 연료연소_b 석유정제,A 연료연소_c 고체연료 제조 및 기타 에너지 산업,A 연료연소_2 제조업 및 건설업_2 제조업 및 건설업,A 연료연소_a 철강,A 연료연소_b 비철금속,A 연료연소_c 화학,"A 연료연소_d 펄프, 제지 및 인쇄",A 연료연소_e 식음료품 가공 및 담배 제조,A 연료연소_f 비금속광물,A 연료연소_g 기타,A 연료연소_2 제조업 및 건설업_g 기타_1 수송장비제조,A 연료연소_2 제조업 및 건설업_g 기타_2 기계 제조,A 연료연소_2 제조업 및 건설업_g 기타_3 광업,A 연료연소_2 제조업 및 건설업_g 기타_4 목재 및 목제품,A 연료연소_2 제조업 및 건설업_g 기타_5 건설업,A 연료연소_2 제조업 및 건설업_g 기타_6 섬유 및 가죽,A 연료연소_2 제조업 및 건설업_g 기타_7 기타,A 연료연소_3 수송,A 연료연소_3 수송_a 국내항공,A 연료연소_3 수송_b 도로수송,A 연료연소_3 수송_c 철도,A 연료연소_3 수송_d 국내해운,A 연료연소_3 수송_e 기타수송,A 연료연소_4 기타,A 연료연소_4 기타_a 상업/공공,A 연료연소_4 기타_b 가정,A 연료연소_4 기타_c 농업/임업/어업,A 연료연소_4 기타_c 농업/임업/어업_농업/임업,A 연료연소_4 기타_c 농업/임업/어업_3 어업,A 연료연소_5 미분류,B 탈루,B 탈루_1 고체연료,B 탈루_2 석유 및 천연가스,B 탈루_2 석유 및 천연가스_a 석유,B 탈루_2 석유 및 천연가스_b 천연가스,B 탈루_2 석유 및 천연가스_c 탈기 및 소각,C 이산화탄소 수송 및 저장,산업공정 및 제품사용,A 광물산업,A 광물산업_1 시멘트생산,A 광물산업_2 석회생산,A 광물산업_3 유리생산,A 광물산업_4 탄산염의 기타 공정 사용,B 화학산업,B 화학산업_1 암모니아 생산,B 화학산업_2 질산 생산,B 화학산업_3 아디브산 생산,"B 화학산업_4 카프로락탐, 글리옥살, 글리옥실산 생산",B 화학산업_5 카바이드 생산,B 화학산업_6 이산화티타늄 생산,B 화학산업_7 소다회 생산,B 화학산업_8 석유화학제품 및 카본블랙 생산,B 화학산업_9 불소화합물 생산,B 화학산업_10 기타,C 금속산업,C 금속산업_1 철강생산,C 금속산업_2 합금철 생산,C 금속산업_3 알루미늄 생산,C 금속산업_4 마그네슘 생산,C 금속산업_5 납 생산,C 금속산업_6 아연 생산,C 금속산업_7 기타,D 비에너지 연료 및 용매 사용,D 비에너지 연료 및 용매 사용_1 윤활유 사용,D 비에너지 연료 및 용매 사용_2 파라핀 왁스 사용,D 비에너지 연료 및 용매 사용_3 기타,E 전자 산업,F 오존층파괴물질의 대체물질 사용,F 오존층파괴물질의 대체물질 사용_1 냉장 및 냉방,F 오존층파괴물질의 대체물질 사용_2 발포제,F 오존층파괴물질의 대체물질 사용_3 소화기,F 오존층파괴물질의 대체물질 사용_4 에어로졸,F 오존층파괴물질의 대체물질 사용_5 용매,F 오존층파괴물질의 대체물질 사용_6 기타 오존층파괴물질의 대체물질 사용,G 기타 제품제조 및 소비,G 기타 제품제조 및 소비_1 중전기기,G 기타 제품제조 및 소비_2 기타 제품사용의 육불화황 및 과불화탄소,G 기타 제품제조 및 소비_3 제품사용의 N2O,H 기타,H 기타_1 펄프 및 종이,H 기타_2 식품 및 음료,H 기타_3 기타,농업,A 장내발효,A 장내발효_1 소,A 장내발효_2 양(면양),A 장내발효_3 돼지,A 장내발효_4 기타 가축,B 가축분뇨처리,B 가축분뇨처리_1 소,B 가축분뇨처리_2 양(면양),B 가축분뇨처리_3 돼지,B 가축분뇨처리_4 기타 가축,B 가축분뇨처리_5 간접 N2O 배출량,C 벼재배,C 벼재배_1 관개,C 벼재배_2 천수답,D 농경지토양,D 농경지토양_1 직접배출,D 농경지토양_2 간접배출,D 농경지토양_2 간접배출,E 사바나 소각,F 작물잔사소각_1 곡물,F 작물잔사소각_2 두류,F 작물잔사소각_3 서류,F 작물잔사소각_4 사탕수수,F 작물잔사소각_5 기타,G 석회 시용,H 요소 시용,LULUCF,A 산림지,A 산림지_1 산림지로 유지된 산림지,A 산림지_2 타토지에서 전용된 산림지,B 농경지,B 농경지_1 농경지로 유지된 농경지,B 농경지_2 타토지에서 전용된 농경지,C 초지,C 초지_1 초지로 유지된 초지,C 초지_2 타토지에서 전용된 초지,D 습지,D 습지_1 습지로 유지된 습지,D 습지_1 습지로 유지된 습지_내륙습지,D 습지_1 습지로 유지된 습지_연안습지,D 습지_2 타토지에서 전용된 습지,D 습지_2 타토지에서 전용된 습지_내륙습지,E 정주지,E 정주지_1 정주지로 유지된 정주지,E 정주지_2 타토지에서 전용된 기타토지,F 기타토지,F 기타토지_1 기타토지로 유지된 기타토지,F 기타토지_2 타토지에서 전용된 기타토지,G 수확된 목재제품,H 기타,폐기물,A 폐기물매립,A 폐기물매립_1 관리형 매립,A 폐기물매립_2 비관리형 매립,A 폐기물매립_3 기타 매립,B 고형폐기물의 생물학적 처리,B 고형폐기물의 생물학적 처리_1 퇴비화,B 고형폐기물의 생물학적 처리_2 바이오가스시설에서의 혐기성 소화,C 폐기물소각 및 노천소각,C 폐기물소각 및 노천소각_1 폐기물소각,C 폐기물소각 및 노천소각_2 노천소각,D 하폐수처리,D 하폐수처리_1 폐수처리,D 하폐수처리_2 하수처리,D 하폐수처리_3 기타,E 기타,별도항목(Memo Item),국제벙커링 및 다국적 작전,국제벙커링 및 다국적 작전_벙커링,C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,C 국제벙커링 및 다국적 작전_2 다국적 작전
1990,310578.3383,271615.0928,234475.7526,223481.609,42026.93161,37174.65996,4193.73105,658.5406,72169.00787,27836.419,549.88983,8582.52104,2883.87956,3313.55421,13955.60362,15047.14061,761.46444,2004.66998,439.34119,220.9636,1657.34372,6204.4235,3758.93416,36460.811,823.84888,31718.28663,973.85563,2480.74502,464.07483,72641.46389,26806.64858,39882.65654,5952.15877,3319.14774,2633.01103,183.39462,10994.14357,10931.4595,62.68407,37.7195,23.05697,1.9076,0,37797.75665,16386.70859,15870.87167,256.80845,57.38437,201.64411,7820.76737,0,219.28883,0,0,0,0,0,5304.09616,1041.6,1255.78238,13065.2821,13041.2203,0,23.2628,0.799,0,0,0,356.72414,356.72414,0,0,0,0,0,0,0,0,0,0,168.27445,168.27445,0,0,0,0,0,0,24865.47469,3752.80426,3563.70018,0.46461,137.33171,51.30776,3310.94424,1456.84883,0.05933,1211.84869,116.5828,525.60459,14073.07625,14029.76074,43.31551,3238.59647,1718.5234,1520.07307,0,55.02161,8.67733,9.67717,0,0,36.66712,2.5434,432.48847,-38963.24555,-38226.30557,-38226.30557,0,112.79053,0,112.79053,-670.40914,0,-670.40914,343.9404,257.63885,278.69775,-21.0589,86.30155,86.30155,-729.0103,-729.0103,0,0,0,0,205.74853,0,13439.3544,12148.97805,8999.75202,3149.22603,0,0,0,0,560.85445,560.85445,0,729.52189,631.0464,98.4755,0,0,,14123.36,14123.36,6295.65,7827.71,C
1991,341241.2697,306225.6006,257328.6874,246864.6416,49945.72647,43773.82341,4978.80186,1193.1012,85306.8075,35194.60417,545.98942,10314.70122,2889.21206,3373.75154,16152.56704,16835.98206,873.21804,2276.84797,348.45944,241.43789,1558.22893,6100.39864,5437.39116,39667.13703,898.29787,36393.88312,990.79998,1051.30421,332.85187,67240.69439,27593.49759,33873.39406,5773.80275,3137.62208,2636.18067,4704.27616,10464.04587,10379.0438,85.00207,48.25709,34.7075,2.03748,0,44174.91606,19523.83459,18960.06458,297.30212,76.70012,189.76777,9697.2297,0,270.85014,0,0,0,0,0,7162.2503,846.672,1417.45726,14268.56635,14268.54285,0,0,0.0235,0,0,0,360.46519,360.46519,0,0,0,0,0,0,0,0,0,0,324.82022,324.82022,0,0,0,0,0,0,24915.57279,3988.15771,3768.94842,0.46681,152.99909,65.74339,3514.11275,1490.93484,0.05961,1325.64878,130.11223,567.35729,13876.62374,13833.95618,42.66757,3192.37238,1698.66781,1493.70457,0,49.72315,7.39015,8.81452,0,0,33.51848,2.3864,292.19667,-35015.6691,-34163.12198,-34163.12198,0,250.08232,0,250.08232,-712.20577,0,-712.20577,316.35789,237.36864,258.15554,-20.7869,78.98925,78.98925,-750.13667,-750.13667,0,0,0,0,43.35511,0,14822.09344,13164.3672,9679.4407,3484.9265,0,0,0,0,746.36481,746.36481,0,911.36142,793.35799,118.00344,0,0,,17002.26,17002.26,4294.98,12710.67,C
1992,368809.5715,334622.7203,273752.0707,264236.124,59044.98989,51282.98687,6097.79631,1664.2067,88857.5829,37227.61368,404.44295,10445.3093,3321.23788,3715.1685,17780.33676,15963.47384,858.14773,2522.66894,334.94689,237.06521,1377.64905,6141.78904,4491.20697,45190.05185,1047.3772,41628.11456,1007.66666,1156.11574,350.77769,68171.38047,32247.16752,29477.44488,6446.76807,3547.13888,2899.62919,2972.11893,9515.94662,9402.39752,113.54911,61.64394,49.36012,2.54505,0,53463.43763,21749.27038,21126.4456,321.70044,86.16175,214.9626,16117.08454,0,352.76535,0,0,0,0,0,10590.17399,1983.008,3191.1372,14869.87192,14868.81442,0,0,1.0575,0,0,0,388.23365,388.23365,0,0,0,1.56902,0.54495,0.07948,0,0.94458,0,0,337.40813,337.40813,0,0,0,0,0,0,25214.79735,4314.03254,4058.41681,0.49294,168.59264,86.53015,3761.09647,1537.32645,0.06295,1475.35839,135.58246,612.76623,13506.89516,13465.41177,41.48339,3241.72527,1734.249,1507.47627,0,49.13047,6.2408,7.80922,0,0,35.08045,2.1509,339.76653,-34186.85118,-33540.63469,-33540.63469,0,441.4151,0,441.4151,-686.06013,0,-686.06013,335.77365,252.98781,272.15071,-19.1629,82.78584,82.78584,-770.94687,-770.94687,0,0,0,0,33.60176,0,16379.26587,14430.12017,10750.54095,3679.57922,0,0,0,0,879.08444,879.08444,0,1070.06126,919.55886,150.5024,0,0,,21104.35,21104.35,5138.56,15971.04,C
1993,406802.1504,374169.2284,303458.935,294738.3172,66967.18511,58078.03535,6787.81947,2101.33029,97533.09704,41604.70293,412.00006,11725.17096,3621.75926,3799.10203,19533.53437,16836.82743,972.55255,2906.61143,251.62091,232.17133,1369.52143,6636.72521,4467.62456,57082.42561,1175.54702,50186.82632,1086.68087,4387.44939,245.92201,69974.55396,37456.42122,25289.78595,7228.3468,4002.47024,3225.87656,3181.05548,8720.6178,8576.76352,143.85428,67.72268,72.41747,3.71413,0,60361.65502,25352.70398,24697.87712,356.06041,94.51709,204.24936,17521.11838,0,438.29622,0,0,0,0,0,11839.15152,2232,3011.67064,16695.66615,16695.57215,0,0,0.094,0,0,0,409.06607,409.06607,0,0,0,4.28942,1.45549,0.1694,0,2.66453,0,0,378.81101,378.81101,0,0,0,0,0,0,25547.28545,4794.92952,4510.87032,0.43372,176.35337,107.27211,4030.75748,1681.5733,0.05539,1554.94394,137.1334,657.05147,13129.33215,13089.01138,40.32078,3194.58326,1719.059,1475.52426,0,48.99211,5.69327,7.03364,0,0,36.26521,2.826,345.86493,-32632.922,-31968.23585,-31968.23585,0,595.29902,0,595.29902,-679.09371,0,-679.09371,324.85442,242.64339,261.36629,-18.7229,82.21103,82.21103,-791.44089,-791.44089,0,0,0,0,-114.30499,0,17434.27494,15460.94732,11757.50907,3703.43824,0,0,0,0,1083.7341,1083.7341,0,889.59352,715.65064,173.94289,0,0,,22361.85,22361.85,5673.79,16686.69,C
1994,432769.283,397753.2151,323158.101,315376.0665,81318.26342,71719.30799,7046.10022,2552.85521,102910.9763,41368.27181,946.40311,12112.2999,4046.48995,4119.68737,22070.53227,18247.29191,990.18957,3015.45369,230.81161,340.96095,1273.16258,6947.73774,5448.97577,59190.32508,1205.49704,52875.68586,1031.26909,3735.87243,342.00066,69088.809,39441.47811,21342.34869,8304.98221,4445.95407,3859.02813,2867.69265,7782.03455,7612.04273,169.99183,68.55238,96.46253,4.97692,0,64280.22161,27687.11679,26837.23615,509.39199,99.29119,241.19746,19076.25093,0,493.47558,0,0,0,0,0,12523.35728,2402.624,3656.79407,16299.27864,16296.95214,0,0,2.3265,0,0,0,446.58635,446.58635,0,0,0,238.75981,236.82832,0.07186,0,1.85963,0,0,532.22908,532.22908,0,0,0,0,0,0,25767.64984,5078.22385,4772.66999,0.34734,180.78129,124.42523,4199.64854,1760.17595,0.04436,1609.0778,142.49714,687.85329,12749.11864,12709.99389,39.12474,3359.67656,1816.45768,1543.21888,0,50.59085,5.1032,6.52824,0,0,38.95941,2.983,327.4084,-35016.06788,-34375.44092,-34375.44092,0,829.88107,0,829.88107,-678.03291,0,-678.03291,332.16909,249.32778,268.57568,-19.2479,82.8413,82.8413,-811.61874,-811.61874,0,0,0,0,-313.02546,0,19563.31052,16497.29218,12871.43207,3625.8601,0,4.25913,4.25913,0,1547.92826,1547.92826,0,1513.83095,1277.12531,236.70564,0,0,,25777.61,25777.61,6371.72,19404.9,C
1995,464497.6333,431236.4475,347962.4411,340964.7672,91952.42997,79555.14782,9291.76895,3105.5132,104629.6889,43002.18523,1021.48797,11463.11839,4143.14315,4393.85651,22199.14171,18406.75592,1060.85617,3268.19905,217.2646,272.76189,1229.35547,6754.15162,5604.16711,66562.75336,1329.53898,60198.89255,1042.23229,3690.43292,301.65662,74978.476,44589.13758,21573.24199,8816.09643,4690.73909,4125.35735,2841.41901,6997.67386,6781.80826,215.86561,76.33343,133.82319,5.70898,0,69703.89316,29093.19548,28101.72186,637.75489,100.64028,253.07844,20580.92258,0,599.9873,0,0,0,0,0,13100.40124,2765.696,4114.83804,17494.6623,17488.6228,0,0,6.0395,0,0,0,482.9488,482.9488,0,0,0,572.94363,572.5413,0.07145,0,0.33089,0,0,1479.22037,1479.22037,0,0,0,0,0,0,25875.04141,5307.1949,4975.87271,0.23814,192.52807,138.55597,4371.37174,1782.22073,0.03041,1704.2142,158.07532,726.83108,12395.49296,12357.45064,38.04233,3427.15834,1860.98467,1566.17367,0,52.90247,5.04983,6.27725,0,0,41.57539,2.669,318.252,-33261.18578,-33102.38478,-33102.38478,0,1330.15237,0,1330.15237,-693.11836,0,-693.11836,344.47023,248.47342,267.70232,-19.2289,95.9968,95.9968,-831.48042,-831.48042,0,0,0,0,-308.82482,0,20956.25762,17222.63775,13627.72208,3594.91567,0,0.50992,0.50992,0,2212.84808,2212.84808,0,1520.26186,1238.23947,282.02239,0,0,,29700.13,29700.13,7207.24,22494.78,C
1996,501079.1371,464394.6467,381519.4078,374951.0049,115575.0628,96643.66732,10525.32324,8406.07226,106236.4623,43537.84007,967.1637,13350.84468,4491.74328,4434.62012,19362.00778,20092.24269,1126.31848,3839.36446,195.50784,290.34962,1226.36388,7329.89696,6084.44146,70796.13012,1379.73508,65985.02951,1030.2713,1993.47298,407.62125,79242.61638,47447.57053,21934.39366,9860.65219,5658.90052,4201.75167,3100.73325,6568.40295,6293.76492,274.63803,87.29624,179.80318,7.53861,0,72555.7309,29305.51387,28305.65937,635.0926,111.64352,253.11837,22026.46477,0,673.29266,0,0,0,0,0,13939.93175,3030.56,4382.68037,18636.23462,18628.05662,0,0,8.178,0,0,0,530.05091,530.05091,0,0,0,925.00025,924.52755,0.07077,0,0.40193,0,0,1132.46648,1132.46648,0,0,0,0,0,0,26228.8018,5723.86321,5374.62685,0.22349,198.43626,150.57661,4565.86334,1862.49487,0.02854,1768.33888,165.44981,769.55125,12089.87617,12052.78368,37.09249,3474.74512,1894.94146,1579.80366,0,56.32226,5.01487,6.14491,0,0,45.16247,2.6847,315.447,-36684.49038,-36799.19035,-36799.19035,0,1738.95628,0,1738.95628,-711.16831,0,-711.16831,341.71925,250.31486,270.53476,-20.2199,91.40439,91.40439,-851.02593,-851.02593,0,0,0,0,-403.78132,0,20775.19654,17604.87655,14098.23862,3506.63793,0,1.57045,1.57045,0,1607.51113,1607.51113,0,1561.2384,1406.52944,154.70896,0,0,,35396.83,35396.83,7876.47,27523.91,C
1997,526063.9285,484380.562,398735.8426,392509.7409,124958.964,104573.9703,13160.25628,7224.73742,107331.5527,41604.11117,791.09919,14521.36574,4507.38579,4081.14363,21252.6713,20573.77585,1703.58251,3987.61636,156.93421,291.15267,1392.64449,7350.70914,5691.13647,76405.23494,1583.88139,70762.50932,1026.06957,2624.58901,408.18566,80862.63621,48877.28968,21109.47633,10875.87019,6445.87529,4429.9949,2951.35306,6226.1017,5884.57293,341.52877,105.68658,226.42297,9.41922,0,79615.6262,30433.50549,29317.10808,750.25064,123.14219,243.00458,26040.31783,0,777.57678,0,0,0,0,0,17110.29809,3450.176,4702.26695,17768.24245,17757.78495,0,0,10.4575,0,0,0,529.86702,522.39447,7.47254,0,2225.66321,1356.25375,1355.38816,0.0949,0,0.77068,0,0,1261.77645,1261.77645,0,0,0,0,0,0,26183.82802,5772.32996,5406.25576,0.22059,207.60881,158.2448,4662.16759,1852.80669,0.02817,1851.2272,170.76525,787.34028,11921.3757,11884.80618,36.56952,3462.43012,1890.93138,1571.49874,0,57.94146,4.84895,6.18733,0,0,46.90517,3.1714,304.4118,-41683.36643,-41922.04034,-41922.04034,0,1880.14859,0,1880.14859,-728.40541,0,-728.40541,371.48083,277.99058,296.65248,-18.6619,93.49025,93.49025,-870.25527,-870.25527,0,0,0,0,-414.29482,0,21528.63161,18127.87643,14722.16081,3405.71562,0,4.67751,4.67751,0,2014.37663,2014.37663,0,1381.70103,1231.28386,150.41716,0,0,,38847.39,38847.39,8577.98,30274.49,C
1998,460219.6903,410168.4578,340200.6514,334224.2084,112389.6381,92499.16969,13398.09753,6492.37092,97052.38222,42532.84919,755.47289,11221.87682,3834.60757,3426.51297,15772.98281,19508.07996,2617.40789,3256.05838,124.10092,212.74246,1031.65245,7956.80936,4309.30849,59222.0012,1348.51334,54138.58474,1010.38375,2240.00857,484.51081,62879.5621,35481.91161,17655.29693,9742.35356,5711.85343,4030.50013,2680.62473,5976.44303,5624.35521,352.08782,99.90361,243.57646,8.60775,0,73189.3128,23929.3322,22876.59464,762.22655,89.05477,201.45624,26935.27693,0,861.48108,0,0,0,0,0,18868.37302,2059.392,5146.03082,17416.13319,17404.73569,0,0,11.3975,0,0,0,408.71004,403.29584,5.4142,0,2138.02655,1584.37272,1583.52829,0.0782,0,0.76622,0,0,777.46118,777.46118,0,0,0,0,0,0,26132.97231,5570.79544,5185.58119,0.20249,226.09273,158.91904,4825.04837,1821.27447,0.02586,2047.8241,165.08851,790.83544,11947.46816,11910.8185,36.64966,3411.20357,1860.15629,1551.04728,0,55.44066,4.22515,5.91333,0,0,45.30218,3.6267,319.3894,-50051.23245,-50587.60119,-50587.60119,0,1914.79869,0,1914.79869,-734.28821,0,-734.28821,384.70088,290.14448,309.60238,-19.4579,94.55639,94.55639,-889.16843,-889.16843,0,0,0,0,-139.67418,0,20696.75373,17159.72687,13838.12703,3321.59985,0,4.49637,4.49637,0,1901.3744,1901.3744,0,1631.15609,1504.13517,127.02091,0,0,,38433.5,38433.5,7098.61,31331.13,C
