분야 및 연도,총배출량(kt CO2-eq),순배출량,에너지,A 연료연소,A 연료연소_1 에너지산업,A 연료연소_a 공공 전기 및 열 생산,A 연료연소_b 석유정제,A 연료연소_c 고체연료 제조 및 기타 에너지 산업,A 연료연소_2 제조업 및 건설업_2 제조업 및 건설업,A 연료연소_a 철강,A 연료연소_b 비철금속,A 연료연소_c 화학,"A 연료연소_d 펄프, 제지 및 인쇄",A 연료연소_e 식음료품 가공 및 담배 제조,A 연료연소_f 비금속광물,A 연료연소_g 기타,A 연료연소_2 제조업 및 건설업_g 기타_1 수송장비제조,A 연료연소_2 제조업 및 건설업_g 기타_2 기계 제조,A 연료연소_2 제조업 및 건설업_g 기타_3 광업,A 연료연소_2 제조업 및 건설업_g 기타_4 목재 및 목제품,A 연료연소_2 제조업 및 건설업_g 기타_5 건설업,A 연료연소_2 제조업 및 건설업_g 기타_6 섬유 및 가죽,A 연료연소_2 제조업 및 건설업_g 기타_7 기타,A 연료연소_3 수송,A 연료연소_3 수송_a 국내항공,A 연료연소_3 수송_b 도로수송,A 연료연소_3 수송_c 철도,A 연료연소_3 수송_d 국내해운,A 연료연소_3 수송_e 기타수송,A 연료연소_4 기타,A 연료연소_4 기타_a 상업/공공,A 연료연소_4 기타_b 가정,A 연료연소_4 기타_c 농업/임업/어업,A 연료연소_4 기타_c 농업/임업/어업_농업/임업,A 연료연소_4 기타_c 농업/임업/어업_3 어업,A 연료연소_5 미분류,B 탈루,B 탈루_1 고체연료,B 탈루_2 석유 및 천연가스,B 탈루_2 석유 및 천연가스_a 석유,B 탈루_2 석유 및 천연가스_b 천연가스,B 탈루_2 석유 및 천연가스_c 탈기 및 소각,C 이산화탄소 수송 및 저장,산업공정 및 제품사용,A 광물산업,A 광물산업_1 시멘트생산,A 광물산업_2 석회생산,A 광물산업_3 유리생산,A 광물산업_4 탄산염의 기타 공정 사용,B 화학산업,B 화학산업_1 암모니아 생산,B 화학산업_2 질산 생산,B 화학산업_3 아디브산 생산,"B 화학산업_4 카프로락탐, 글리옥살, 글리옥실산 생산",B 화학산업_5 카바이드 생산,B 화학산업_6 이산화티타늄 생산,B 화학산업_7 소다회 생산,B 화학산업_8 석유화학제품 및 카본블랙 생산,B 화학산업_9 불소화합물 생산,B 화학산업_10 기타,C 금속산업,C 금속산업_1 철강생산,C 금속산업_2 합금철 생산,C 금속산업_3 알루미늄 생산,C 금속산업_4 마그네슘 생산,C 금속산업_5 납 생산,C 금속산업_6 아연 생산,C 금속산업_7 기타,D 비에너지 연료 및 용매 사용,D 비에너지 연료 및 용매 사용_1 윤활유 사용,D 비에너지 연료 및 용매 사용_2 파라핀 왁스 사용,D 비에너지 연료 및 용매 사용_3 기타,E 전자 산업,F 오존층파괴물질의 대체물질 사용,F 오존층파괴물질의 대체물질 사용_1 냉장 및 냉방,F 오존층파괴물질의 대체물질 사용_2 발포제,F 오존층파괴물질의 대체물질 사용_3 소화기,F 오존층파괴물질의 대체물질 사용_4 에어로졸,F 오존층파괴물질의 대체물질 사용_5 용매,F 오존층파괴물질의 대체물질 사용_6 기타 오존층파괴물질의 대체물질 사용,G 기타 제품제조 및 소비,G 기타 제품제조 및 소비_1 중전기기,G 기타 제품제조 및 소비_2 기타 제품사용의 육불화황 및 과불화탄소,G 기타 제품제조 및 소비_3 제품사용의 N2O,H 기타,H 기타_1 펄프 및 종이,H 기타_2 식품 및 음료,H 기타_3 기타,농업,A 장내발효,A 장내발효_1 소,A 장내발효_2 양(면양),A 장내발효_3 돼지,A 장내발효_4 기타 가축,B 가축분뇨처리,B 가축분뇨처리_1 소,B 가축분뇨처리_2 양(면양),B 가축분뇨처리_3 돼지,B 가축분뇨처리_4 기타 가축,B 가축분뇨처리_5 간접 N2O 배출량,C 벼재배,C 벼재배_1 관개,C 벼재배_2 천수답,D 농경지토양,D 농경지토양_1 직접배출,D 농경지토양_2 간접배출,D 농경지토양_2 간접배출,E 사바나 소각,F 작물잔사소각_1 곡물,F 작물잔사소각_2 두류,F 작물잔사소각_3 서류,F 작물잔사소각_4 사탕수수,F 작물잔사소각_5 기타,G 석회 시용,H 요소 시용,LULUCF,A 산림지,A 산림지_1 산림지로 유지된 산림지,A 산림지_2 타토지에서 전용된 산림지,B 농경지,B 농경지_1 농경지로 유지된 농경지,B 농경지_2 타토지에서 전용된 농경지,C 초지,C 초지_1 초지로 유지된 초지,C 초지_2 타토지에서 전용된 초지,D 습지,D 습지_1 습지로 유지된 습지,D 습지_1 습지로 유지된 습지_내륙습지,D 습지_1 습지로 유지된 습지_연안습지,D 습지_2 타토지에서 전용된 습지,D 습지_2 타토지에서 전용된 습지_내륙습지,E 정주지,E 정주지_1 정주지로 유지된 정주지,E 정주지_2 타토지에서 전용된 기타토지,F 기타토지,F 기타토지_1 기타토지로 유지된 기타토지,F 기타토지_2 타토지에서 전용된 기타토지,G 수확된 목재제품,H 기타,폐기물,A 폐기물매립,A 폐기물매립_1 관리형 매립,A 폐기물매립_2 비관리형 매립,A 폐기물매립_3 기타 매립,B 고형폐기물의 생물학적 처리,B 고형폐기물의 생물학적 처리_1 퇴비화,B 고형폐기물의 생물학적 처리_2 바이오가스시설에서의 혐기성 소화,C 폐기물소각 및 노천소각,C 폐기물소각 및 노천소각_1 폐기물소각,C 폐기물소각 및 노천소각_2 노천소각,D 하폐수처리,D 하폐수처리_1 폐수처리,D 하폐수처리_2 하수처리,D 하폐수처리_3 기타,E 기타,별도항목(Memo Item),국제벙커링 및 다국적 작전,국제벙커링 및 다국적 작전_벙커링,C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,C 국제벙커링 및 다국적 작전_2 다국적 작전
2011,721638.204,665101.1941,580221.0873,575832.2566,264989.8589,248766.7493,15338.70292,884.40672,164099.1285,84479.14364,2561.10621,21948.07257,1580.52616,2202.21013,17958.37128,33369.69846,2625.22092,2629.80427,183.37167,190.188,2577.20278,6612.94815,18550.96266,86363.96615,1202.0958,81875.57127,562.31706,2298.76786,425.21416,57476.9613,18668.00378,31442.16833,7366.78919,4829.91434,2536.87484,2902.34179,4388.83064,3492.78117,896.04947,112.07178,731.01857,52.95911,0,97782.35947,29172.78762,24717.80591,3314.36204,240.8792,899.74047,25608.57466,0,187.59075,0,0,0,0,0,24843.3935,58.06594,519.52447,22103.87354,21835.31127,18.4841,0,189.4335,0,0,60.64467,544.59141,535.52844,9.06297,0,8617.99326,8740.68585,8699.44174,1.20217,36.84315,2.95129,0.2475,0,2993.85312,2791.40677,0,202.44635,0,0,0,0,23448.75609,5657.95126,5349.32237,0.61241,222.67254,85.34394,4748.77787,1563.48515,0.0782,2041.09816,267.63627,876.48009,10181.32804,10148.59649,32.73155,2673.59295,1501.78331,1171.80964,0,47.37744,3.3209,4.59759,0,0,39.45895,4.2694,135.45913,-56537.00987,-57728.50784,-57728.50784,0,3072.46366,0,3072.46366,-161.47853,0,-161.47853,390.89161,332.86143,360.82833,-27.9669,58.03019,58.03019,-1094.68857,-1094.68857,0,0,0,0,-1015.69022,0,20186.00111,13322.94136,11509.25041,1813.69095,0,106.21192,95.65253,10.55939,4715.2521,4715.2521,0,2041.59572,1429.83777,611.75795,0,0,,38689.05,38689.05,11923.19,26765.87,C
2012,720241.1503,669678.6325,575024.4808,570624.8599,269449.6443,253153.1281,15179.0785,1117.43768,154587.5352,82220.14955,2266.46154,19429.0408,1264.47753,2111.68204,16790.75032,30504.97344,2804.15309,2477.79398,172.25819,172.48554,2266.23234,6003.85025,16608.20006,87719.0255,1207.58188,83352.95472,564.30195,2179.53599,414.65096,55917.91195,18336.04998,30292.93702,7288.92495,4807.4637,2481.46125,2950.74295,4399.6209,3438.17431,961.44659,114.65614,793.39808,53.39236,0,101298.9674,29364.92197,24845.97685,3365.49895,197.291,956.15517,27160.88012,0,332.50834,0,0,0,0,0,26332.06559,82.23467,414.07152,21791.19618,21482.30522,18.87798,0,217.61,0,0,72.40298,556.57652,547.58908,8.98744,0,9047.72031,10187.54296,10113.24994,1.31232,70.1601,1.56,1.2606,0,3190.12936,2962.72412,0,227.40525,0,0,0,0,24053.64761,5878.70549,5524.98536,0.60396,272.26628,80.8499,5401.91478,1605.43525,0.07713,2539.27585,277.23599,979.89056,9812.8555,9777.12092,35.73458,2775.03278,1569.0724,1205.96038,0,44.85716,3.05714,4.38999,0,0,37.41002,3.8709,136.411,-50562.51779,-51553.24096,-51553.24096,0,2737.12227,0,2737.12227,-174.71954,0,-174.71954,368.38283,316.16604,343.59094,-27.4249,52.21679,52.21679,-1112.78388,-1112.78388,0,0,0,0,-827.2785,0,19864.05446,12596.5981,10871.3619,1725.2362,0,111.99146,100.63101,11.36044,5317.14438,5317.14438,0,1838.32053,1440.84873,397.47179,0,0,,37920.03,37920.03,12013.25,25906.79,C
2013,728409.1183,682146.303,569701.7155,565485.6659,276150.9072,260234.4882,14770.47451,1145.94444,142093.9279,69699.15271,2410.37766,20154.96434,1171.18287,1931.36708,17318.97067,29407.91252,3024.48142,2245.24329,185.61719,169.69191,2201.00911,5347.90211,16233.9675,89656.92525,1305.49862,85984.49446,498.04848,1431.35109,437.53261,54578.6504,17635.92754,29501.76332,7440.95954,4790.56868,2650.39086,3005.25516,4216.04964,3269.73669,946.31294,110.3364,779.62022,56.35633,0,115019.0386,29451.70313,25047.56965,3242.22925,211.0405,950.86372,26432.49365,0,204.03698,0,0,0,0,0,25743.26335,91.66258,393.53075,33313.22645,32902.123,16.16011,0,317.10692,0,0,77.83642,573.3569,563.6203,9.7366,0,9729.7569,12185.31984,11942.97703,15.24838,223.74178,1.35863,1.99403,0,3333.18168,3086.74983,0,246.43185,0,0,0,0,23898.59422,5875.30036,5515.78113,0.39881,282.78603,76.33438,5536.01907,1610.5563,0.05093,2667.06241,267.04891,991.30053,9476.38252,9441.60315,34.77937,2832.87772,1606.79062,1226.08709,0,45.09392,2.65171,4.98165,0,0,37.46056,3.4257,129.49493,-46262.81528,-47009.18418,-47009.18418,0,2739.54524,0,2739.54524,-167.52459,0,-167.52459,378.16864,326.25601,347.56191,-21.3059,51.91263,51.91263,-1130.51297,-1130.51297,0,0,0,0,-1073.30742,0,19789.77004,12318.61187,10677.51643,1641.09543,0,133.29641,122.79945,10.49696,5372.51733,5372.51733,0,1965.34444,1435.27292,530.07152,0,0,,37939.78,37939.78,12684.24,25255.54,C
2014,724307.638,677165.027,560877.4606,556806.2669,263946.8313,244674.7464,18515.17842,756.90653,151263.9533,81404.6071,2409.96312,20017.30728,969.10039,1882.91554,17443.48699,27136.57289,2444.88145,2859.80013,148.04215,204.26225,2355.97663,5674.96632,13448.64397,89913.47093,1411.16786,86571.5991,416.76609,1026.02888,487.90899,48797.49343,16040.60467,26984.15867,5772.73008,3331.28145,2441.44863,2884.51792,4071.1937,3195.51704,875.67666,111.49405,717.70656,46.47605,0,120162.464,29893.39887,25409.10132,3287.56606,212.7109,984.02059,27327.67639,0,242.71169,0,0,0,0,0,26632.83321,93.14176,358.98972,33874.57493,33569.7592,8.73043,0,216.67132,0,0,79.41398,583.01643,573.1386,9.87783,0,10763.27698,14184.19428,13610.3951,138.5927,416.28471,14.5105,4.41128,0,3536.32613,3328.3275,0,207.99863,0,0,0,0,24031.20165,6093.392,5741.36002,0.36195,278.54839,73.12165,5571.69359,1666.25845,0.04622,2606.60612,289.00691,1009.77589,9327.24887,9295.84066,31.40821,2862.12406,1625.62131,1236.50276,0,45.82279,2.43314,5.16618,0,0,38.22346,3.8014,127.11893,-47142.611,-47856.27669,-47856.27669,0,2788.13706,0,2788.13706,-150.55345,0,-150.55345,400.52725,346.43649,368.26839,-21.8319,54.09077,54.09077,-1147.87585,-1147.87585,0,0,0,0,-1176.56932,0,19236.51172,12303.08139,10742.02313,1561.05826,0,154.80321,137.84028,16.96293,4934.44463,4934.44463,0,1844.18249,1382.39862,461.78387,0,0,,38493.12,38493.12,12714.89,25778.23,C
2015,726104.8014,678331.9001,562925.4834,558943.3336,262303.0364,244475.1198,17159.36446,668.55212,148384.0809,77869.57031,2704.04119,18927.17212,883.93135,1915.73667,17148.62106,28935.00823,2326.5278,2413.52667,136.74388,208.53734,2611.02205,4997.80894,16240.84154,95378.27443,1454.04739,91226.70289,379.62531,1665.93457,651.96428,49753.54867,17860.64329,26807.22543,5085.67995,2325.20853,2760.47141,3124.39314,3982.14986,3154.38872,827.76114,123.24404,666.78466,37.73244,0,119854.4764,30550.1457,25776.03286,3415.21829,226.7417,1132.15285,27934.74402,0,229.54581,0,0,0,0,0,27368.82456,94.90246,241.4712,33745.87774,33478.33794,7.74061,0,188.8225,0,0,70.97668,606.56552,597.27289,9.29263,0,8208.79942,15899.13949,15029.00317,191.18553,624.27627,47.71348,6.96104,0,2909.20446,2748.02987,0,161.17459,0,0,0,0,23633.5281,5825.70639,5471.58438,0.37221,284.13269,69.6171,5604.60602,1610.34383,0.04753,2677.87114,297.91318,1018.43033,9206.57172,9180.19903,26.37269,2830.03776,1608.28242,1221.75533,0,44.47381,2.39074,4.97593,0,0,37.10715,3.493,118.6394,-47772.9013,-48484.1135,-48484.1135,0,2496.21446,0,2496.21446,-120.80478,0,-120.80478,457.09147,394.8951,415.631,-20.7359,62.19637,62.19637,-1164.8725,-1164.8725,0,0,0,0,-956.41645,0,19691.31352,12581.33494,11096.41039,1484.92455,0,223.29822,151.30205,71.99617,5233.3292,5233.3292,0,1653.35116,1280.07085,373.28031,0,0,,41597.09,41597.09,13076.48,28520.61,C
2016,737407.9621,689192.2405,575019.9415,571076.0275,263821.4877,244752.9854,18404.71463,663.78772,152592.813,77456.10531,2669.83705,20789.22437,2194.92329,2193.48109,16395.30525,30893.93664,3643.34705,2887.35218,142.05129,320.10723,2686.21163,4953.57993,16261.28734,99858.91887,1653.58785,95630.87873,332.11126,1429.35805,812.98298,51703.68493,18525.16457,28711.16605,4467.35432,1532.54926,2934.80506,3099.123,3943.91398,3092.177,851.73698,130.05685,684.46704,37.21309,0,119254.254,32196.89988,26669.10389,4108.99561,254.0239,1164.77648,30443.70391,0,305.07946,0,0,0,0,0,29686.30933,92.76418,359.55094,28456.56468,28191.88865,2.80014,0,179.3285,0,0,82.54739,605.5375,594.96823,10.56927,0,5841.87478,17972.63407,16774.26262,370.21876,786.12823,34.55193,7.47254,0,3737.03921,3597.54201,0,139.49719,0,0,0,0,23539.24561,5786.21637,5421.71691,0.32153,291.83197,72.34595,5634.87311,1576.94941,0.04106,2757.83268,281.07794,1018.97202,9150.83207,9124.30909,26.52298,2803.73619,1592.65306,1211.08314,0,42.01211,2.74803,4.06873,0,0,35.19535,3.5113,118.06447,-48215.72157,-48728.12088,-48728.12088,0,2388.2935,0,2388.2935,-88.8949,0,-88.8949,438.15698,372.98305,393.83195,-20.8489,65.17393,65.17393,-1181.50293,-1181.50293,0,0,0,0,-1043.65334,0,19594.52092,12265.07632,10852.57239,1412.50393,0,252.91319,164.0022,88.91099,5255.08495,5255.08495,0,1821.44645,1320.5715,500.87495,0,0,,46720.11,46720.11,14607.98,32112.13,C
2017,759107.7695,716258.9588,587475.3589,583709.5133,275085.7864,256626.3698,17274.7021,1184.7145,153094.4757,77411.91924,2647.94127,22411.34042,2281.55433,2089.20194,14857.57085,31394.94766,3447.60927,3852.19429,124.5701,138.79297,2261.23719,5350.1623,16220.38154,99329.97282,1644.51416,95191.6894,321.25114,1360.11633,812.40179,52976.74246,19059.39413,29586.42935,4330.91898,1520.89597,2810.023,3222.53595,3765.84558,2844.06547,921.78011,135.32994,738.27219,48.17798,0,127861.2957,31963.44369,26347.95632,4153.96448,248.7645,1212.75839,31268.07393,0,301.93062,0,0,0,0,0,30774.53398,87.8168,103.79253,33138.1119,32883.48542,1.57801,0,169.58289,0,0,83.46558,620.59063,609.74135,10.84928,0,7363.0412,20210.23499,18713.08692,503.5154,982.72292,1.15989,9.74985,0,3297.79935,3165.97854,0,131.82081,0,0,0,0,23658.67899,5888.35508,5494.00884,0.34379,316.23962,77.76283,5896.7072,1570.42841,0.0439,2985.0049,295.21168,1046.01831,8929.27325,8902.59935,26.6739,2789.65396,1585.7668,1203.88717,0,40.348,2.87058,3.43457,0,0,34.04286,3.5517,110.7898,-42848.81079,-43685.91418,-43685.91418,0,2465.0857,0,2465.0857,-55.85955,0,-55.85955,402.98575,352.25957,375.31627,-23.0567,50.72618,50.72618,-1197.76713,-1197.76713,0,0,0,0,-777.34138,0,20112.43594,12505.57642,11161.96112,1343.6153,0,253.34499,167.16534,86.17964,5475.61431,5475.61431,0,1877.90023,1236.77517,641.12506,0,0,,47638.65,47638.65,14964.56,32674.08,C
2018,783873.5691,742309.9436,612119.8213,608431.8191,299963.5496,278849.1047,20289.60208,824.84282,153544.6316,79998.37647,2927.05875,23795.10623,2291.56452,2170.32536,13684.82742,28677.37284,2461.23751,3476.29564,122.14434,164.18684,2218.11038,4960.9309,15274.46723,98763.55172,1594.04212,95307.23156,319.73642,1037.86176,504.67985,53012.02081,18099.97649,30804.31283,4107.73149,1529.27553,2578.45596,3148.06547,3688.00212,2704.2422,983.75992,134.28507,798.84725,50.6276,0,128910.6235,30453.91666,24699.53025,4303.17979,302.58693,1148.61968,31445.51457,0,291.51779,0,0,0,0,0,30939.4831,88.14686,126.36682,31747.60601,31511.65975,0.91246,0,150.66541,0,0,84.36838,599.04705,589.58863,9.45843,0,8673.11815,23132.29645,21399.43422,621.93026,1104.03136,1.09262,5.808,0,2859.12458,2726.76423,0,132.36035,0,0,0,0,23489.0269,5972.1477,5564.35589,0.3199,317.26453,90.20739,5982.74647,1575.13657,0.04085,2994.33984,319.43765,1093.79155,8523.97254,8498.63772,25.33482,2848.61854,1620.90615,1227.71239,0,41.38125,2.8716,3.49833,0,0,35.01131,3.1248,117.0356,-41563.6255,-42625.75136,-42625.75136,0,2585.31874,0,2585.31874,-36.36492,0,-36.36492,393.50264,357.9012,378.3163,-20.4151,35.60144,35.60144,-1213.66512,-1213.66512,0,0,0,0,-666.66548,0,19354.09746,12326.66851,11048.58211,1278.08641,0,279.43552,197.6943,81.74123,5072.09612,5072.09612,0,1675.8973,1246.61269,429.28461,0,0,,46742.04,46742.04,15766.82,30975.22,C
2019,759396.757,720742.4409,586435.2,582881.5884,279423.2359,257946.6013,20581.16133,895.47329,148841.5653,78348.63163,2872.6698,22328.71336,2439.01646,1928.09579,14905.32995,26019.10826,2239.3392,4033.29793,120.90837,121.84392,2183.40792,4608.76282,12711.5481,101742.9504,1639.51661,98152.55516,303.77653,1236.78459,410.31754,49901.44737,16301.82183,29448.61875,4151.00679,1256.98996,2894.01683,2972.38947,3553.61159,2620.60104,933.01055,129.12961,756.34907,47.53187,0,130928.8754,30539.66081,24927.30967,4335.59762,272.4258,1004.32772,30723.96053,0,374.0811,0,0,0,0,0,30137.38242,80.2896,132.20741,31935.22852,31687.85286,0.79765,0,170.19537,0,0,76.38264,569.54343,556.89801,12.64542,0,8034.94518,24721.09084,22881.88188,576.79353,1261.84239,0.57305,0,0,4404.44606,4268.14146,0,136.30461,0,0,0,0,23263.86176,6121.75995,5706.45166,0.3451,315.30376,99.65943,6040.64818,1594.12668,0.04407,2992.31806,335.64607,1118.5133,8048.63223,8027.07372,21.55851,2896.34933,1650.7452,1245.60413,0,43.6331,2.22741,4.10005,0,0,37.30564,2.2149,110.62407,-38654.31608,-39938.08152,-39938.08152,0,2648.37533,0,2648.37533,-23.92735,0,-23.92735,397.29367,365.58562,387.05612,-21.4705,31.70805,31.70805,-1229.19689,-1229.19689,0,0,0,0,-508.77932,0,18768.8199,12096.79535,10881.04195,1215.7534,0,291.57305,210.39966,81.17339,4948.29842,4948.29842,0,1432.15308,1251.39515,180.75793,0,0,,42652.5,42652.5,16066.93,26585.57,C
2020,712958.7753,674120.2706,544600.2134,541142.1307,248224.3844,228394.8427,19158.73556,670.80609,144905.5868,75414.43699,3204.07396,23668.52382,2378.12923,2045.77431,13513.65427,24680.99423,2215.36344,3935.42626,136.61418,145.24846,2139.01776,4146.22411,11963.10003,96797.17489,1558.74013,93823.836,267.84605,1010.16787,136.58483,48277.14509,13728.40869,29933.85786,4614.87854,1567.09793,3047.78062,2937.83959,3458.08268,2563.03572,895.04697,118.78263,732.35329,43.91105,0,126784.0997,27967.38921,22700.49754,3978.67008,253.46661,1034.75499,29144.35447,0,276.20119,0,0,0,0,0,28672.38373,90.904,104.86555,29277.31149,29029.18979,0.77052,0,166.21242,0,0,81.13876,548.75445,536.73353,12.02092,0,8988.44496,27207.65636,24891.4418,798.32237,1504.68582,7.30299,5.90338,0,3650.18879,3523.09161,0,127.09718,0,0,0,0,23091.11538,6325.77924,5911.24011,0.32825,310.32406,103.88682,6008.51565,1629.19399,0.04192,2945.45586,315.18858,1118.6353,7692.48606,7673.63964,18.84642,2918.35335,1666.54853,1251.80481,0,38.18177,1.91448,3.37796,0,0,32.88933,2.79404,105.00527,-38838.50472,-40208.65676,-40208.65676,0,2695.56926,0,2695.56926,-16.02014,0,-16.02014,405.51279,374.9417,396.7655,-21.8238,30.57109,30.57109,-1224.69836,-1224.69836,0,0,0,0,-490.21151,0,18483.34678,12014.52226,10858.06185,1156.46041,0,283.60503,187.23297,96.37206,4684.64757,4684.64757,0,1500.57193,1270.40495,230.16698,0,0,,42274.51,42274.51,10029.67,32244.84,C
2021,740976.0903,701974.8753,566782.4268,563361.9424,260019.9688,240292.4002,18753.24208,974.32654,152932.439,78915.71507,3765.61578,25985.38634,2372.0257,2111.86898,14101.04633,25680.78078,2269.08384,4078.1577,132.49518,132.47259,2034.87752,4368.1879,12665.50605,99474.18029,1832.98133,96011.2413,238.24546,1298.94362,92.76859,47985.80531,13635.95183,30243.25198,4106.6015,1531.1952,2575.4063,2949.54903,3420.48443,2483.64114,936.84328,116.45403,778.99178,41.39747,0,132777.6371,29005.85992,23516.13019,4215.70053,255.48519,1018.54401,32798.43577,0,189.70484,0,0,0,0,0,32388.33355,96.0407,124.35667,28190.54075,27967.95732,1.91921,0,145.55249,0,0,75.11173,573.37785,558.32285,15.05501,0,8867.03324,29424.83784,26800.94528,887.04395,1709.17756,16.73499,10.93606,0,3917.55176,3821.82276,0,95.729,0,0,0,0,23076.99979,6558.13197,6149.02142,0.31271,310.29617,98.50166,6007.50274,1650.76179,0.03993,2966.78903,274.33602,1115.57596,7413.19769,7396.96284,16.23485,2952.52147,1689.3529,1263.16857,0,33.18092,1.75705,2.86562,0,0,28.55826,2.465,110,-39001.21508,-40384.95359,-40384.95359,0,2892.96927,0,2892.96927,-6.90147,0,-6.90147,401.52722,374.59067,396.83337,-22.2427,26.93655,26.93655,-1220.17795,-1220.17795,0,0,0,0,-683.67855,0,18339.02659,11766.27367,10666.2145,1100.05917,0,296.27954,196.15698,100.12256,4693.04564,4693.04564,0,1583.42774,1290.82377,292.60397,0,0,,42112.89,42112.89,7879.94,34232.96,C
2022,724294.0625,686461.9115,551889.3261,548487.4181,257501.9545,237677.4943,18425.51885,1398.94128,140999.1007,70329.00167,3490.45989,23238.99268,2673.30287,2218.80909,14600.88583,24447.64871,2264.80272,4210.28021,123.93684,139.58824,1966.30709,4233.42266,11509.31095,98502.43381,1744.19121,95093.35448,199.83154,1395.40761,69.64897,48437.68616,13997.33777,30677.57883,3762.76955,1421.25858,2341.51097,3046.24295,3401.90802,2426.36805,975.53998,124.45025,812.54912,38.54061,0,131262.1551,28421.12994,23227.36079,3961.71488,260.46944,971.58484,31823.93465,0,96.29728,0,0,0,0,0,31528.61512,94.50611,104.51614,27975.49619,27709.85755,1.91153,0,204.98926,0,0,58.73784,613.44759,598.78006,14.66753,0,6955.99848,32215.94436,29238.10607,1112.06881,1837.19667,17.34438,11.22843,0,3256.2039,3152.51457,0,103.68933,0,0,0,0,22953.4077,6742.25101,6342.57916,0.3003,308.36363,91.00792,6054.56926,1663.60198,0.03835,2971.88991,299.26961,1119.76941,7112.36959,7098.45386,13.91573,2924.315,1676.70699,1247.60802,0,25.75311,1.8398,2.17282,0,0,21.74049,2.48306,91.66667,-37832.15105,-39326.86148,-39326.86148,0,2876.01651,0,2876.01651,1.24155,0,1.24155,375.63405,351.78618,375.50278,-23.7166,23.84787,23.84787,-1215.63564,-1215.63564,0,0,0,0,-542.54604,0,18189.17355,11597.11683,10550.70819,1046.40865,0,285.08071,205.58317,79.49754,4483.61934,4483.61934,0,1823.35667,1275.16394,548.19273,0,0,,42112.89,42112.89,9930.38,36956.48,C
